Article ID,Article URL,Status,User Count,Users,Include,Relevant Population,Relevant Intervention ,Relevant Outcome,> 1 ORO,Outcome section,blue carbon flux/storage,User Notes,Title,Journal,Authors
91759628,https://sysrev.com/p/121334/article/91759628,consistent,2,deviveytia|||jean-pierre.gattuso,false,true,false,true,,,,,Microbial geochemical calcium cycle,MICROBIOLOGY,"Zavarzin, GA"
91759629,https://sysrev.com/p/121334/article/91759629,consistent,2,deviveytia|||adriencomte.pro,false,true,false|||true,false,,,,,High porewater exchange in a mangrove-dominated estuary revealed from short-lived radium isotopes,JOURNAL OF HYDROLOGY,"Sadat-Noori, Mahmood; Santos, Isaac R.; Tait, Douglas R.; Reading, Michael J.; Sanders, Christian J."
91759630,https://sysrev.com/p/121334/article/91759630,consistent,2,adriencomte.pro|||jean-pierre.gattuso,true,true,true,true,false,true,,nil,Geomorphological Changes of a Migrating Sandbank: Multidecadal Analysis as a Tool for Managing Conflicts in Coastal Use,WATER,"Bezzi, Annelore; Casagrande, Giulia; Fracaros, Saverio; Martinucci, Davide; Pillon, Simone; Sponza, Stefano; Bratus, Antonio; Fattor, Fabrizio; Fontolan, Giorgio"
91759631,https://sysrev.com/p/121334/article/91759631,consistent,2,deviveytia|||jean-pierre.gattuso,false,true,false,true,,,,,Assessing short- and long-time displacements in the Venice coastland by synthetic aperture radar interferometric point target analysis,JOURNAL OF GEOPHYSICAL RESEARCH-EARTH SURFACE,"Teatini, Pietro; Strozzi, Tazio; Tosi, Luigi; Wegmueller, Urs; Werner, Charles; Carbognin, Laura"
91759632,https://sysrev.com/p/121334/article/91759632,consistent,2,jean-pierre.gattuso|||bopp,false,false,false|||true,true,,,,,Groundwater quality assessment in the Lower Ganga Basin using entropy information theory and GIS,JOURNAL OF CLEANER PRODUCTION,"Hasan, Mohd Sayeed Ul; Rai, Abhishek Kumar"
91759633,https://sysrev.com/p/121334/article/91759633,consistent,2,deviveytia|||adriencomte.pro,true,true,true,true,,,,,2050: AN ENERGETIC ODYSSEY,LANDSCAPE ARCHITECTURE FRONTIERS,"Sijmons, Dirk; Hugtenburg, Jasper; Veul, Joppe"
91759634,https://sysrev.com/p/121334/article/91759634,consistent,2,deviveytia|||jean-pierre.gattuso,false,true,false,true,,,,,On the importance of the decay of Th-234 in determining size-fractionated C/Th-234 ratio on marine particles,GEOPHYSICAL RESEARCH LETTERS,"Cai, Pinghe; Dai, Minhan; Chen, Weifang; Tang, Tiantian; Zhou, Kuanbo"
91759635,https://sysrev.com/p/121334/article/91759635,resolved,3,deviveytia|||adriencomte.pro|||yunne-jai.shin,true,true,true,true,true,false,false,,Impacts of mangrove encroachment and mosquito impoundment management on coastal protection services,HYDROBIOLOGIA,"Doughty, Cheryl L.; Cavanaugh, Kyle C.; Hall, Carlton R.; Feller, Ilka C.; Chapman, Samantha K."
91759636,https://sysrev.com/p/121334/article/91759636,consistent,2,deviveytia|||jean-pierre.gattuso,false,true,false,true,,,,,"The imbalance of new and export production in the western Antarctic Peninsula, a potentially ``leaky{''} ecosystem",GLOBAL BIOGEOCHEMICAL CYCLES,"Stukel, Michael R.; Asher, Elizabeth; Couto, Nicole; Schofield, Oscar; Strebel, Stefanie; Tortell, Philippe; Ducklow, Hugh W."
91759637,https://sysrev.com/p/121334/article/91759637,consistent,2,deviveytia|||adriencomte.pro,true,true,false|||true,true,,,true,,Relative sea-level change regulates organic carbon accumulation in coastal habitats,GLOBAL CHANGE BIOLOGY,"Watanabe, Kenta; Seike, Koji; Kajihara, Rumiko; Montani, Shigeru; Kuwae, Tomohiro"
91759638,https://sysrev.com/p/121334/article/91759638,consistent,2,deviveytia|||jean-pierre.gattuso,false,true,false,true,,,,,Water desalination as a long-term sustainable solution to alleviate global freshwater scarcity? A North-South approach,DESALINATION,"von Medeazza, GM"
91759639,https://sysrev.com/p/121334/article/91759639,consistent,2,deviveytia|||bopp,false,true,false,false|||true,,,,,Partitioning of metals in different binding phases of tropical estuarine sediments: importance of metal chemistry,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,"Chakraborty, Parthasarathi; Chakraborty, Sucharita; Vudamala, Krushna; Sarkar, Arindam; Nath, B. Nagender"
91759640,https://sysrev.com/p/121334/article/91759640,consistent,2,deviveytia|||jean-pierre.gattuso,true,true,true,true,false,,,,Decision-making methodologies in offshore wind power investments: A review,JOURNAL OF CLEANER PRODUCTION,"Liu, Qian; Sun, Yan; Wu, Mengcheng"
91759641,https://sysrev.com/p/121334/article/91759641,consistent,2,deviveytia|||adriencomte.pro,false,true,false,false|||true,,,,,Deep ocean C-14 ventilation age reconstructions from the Arctic Mediterranean reassessed,EARTH AND PLANETARY SCIENCE LETTERS,"Ezat, Mohamed M.; Rasmussen, Tine L.; Skinner, Luke C.; Zamelczyk, Katarzyna"
91759642,https://sysrev.com/p/121334/article/91759642,consistent,2,deviveytia|||adriencomte.pro,false,false|||true,false,false|||true,,,,,Seabird establishment during regional cooling drove a terrestrial ecosystem shift 5000 years ago,SCIENCE ADVANCES,"Groff, V, Dulcinea; Hamley, Kit M.; Lessard, Trevor J. R.; Greenawalt, Kayla E.; Yasuhara, Moriaki; Brickle, Paul; Gill, Jacquelyn L."
91759643,https://sysrev.com/p/121334/article/91759643,consistent,2,deviveytia|||adriencomte.pro,false,false|||true,false,false|||true,,,,,Low-Dimensional Reduced-Order Models for Statistical Response and Uncertainty Quantification: Two-Layer Baroclinic Turbulence,JOURNAL OF THE ATMOSPHERIC SCIENCES,"Qi, Di; Majda, Andrew J."
91759644,https://sysrev.com/p/121334/article/91759644,consistent,2,adriencomte.pro|||jean-pierre.gattuso,false,false|||true,false,false,,,,,Assessing legacy contaminants in sediments from marine protected areas of the central coast of Sao Paulo (Brazil),BRAZILIAN JOURNAL OF OCEANOGRAPHY,"Moreira, Lucas Buruaem; Vicente, Thaisa Marques; Taniguchi, Satie; Hortellani, Marcos Antonio; Souza Sarkis, Jorge Eduardo; Bicego, Marcia Caruso; de Souza Abessa, Denis Moledo"
91759645,https://sysrev.com/p/121334/article/91759645,consistent,2,deviveytia|||adriencomte.pro,false,false,false|||true,false|||true,,,,,Remote in vivo stress assessment of aquatic animals with microencapsulated biomarkers for environmental monitoring,SCIENTIFIC REPORTS,"Gurkov, Anton; Shchapova, Ekaterina; Bedulina, Daria; Baduev, Boris; Borvinskaya, Ekaterina; Meglinski, Igor; Timofeyev, Maxim"
91759646,https://sysrev.com/p/121334/article/91759646,consistent,2,bopp|||yunne-jai.shin,false,false,false|||true,false|||true,,,,,Deep coal seams as a greener energy source: a review,JOURNAL OF GEOPHYSICS AND ENGINEERING,"Ranathunga, A. S.; Perera, M. S. A.; Ranjith, P. G."
91759647,https://sysrev.com/p/121334/article/91759647,consistent,2,bopp|||yunne-jai.shin,false,true,false,true,,,,,Dynamic risk of coastal flood and driving factors: Integrating local sea level rise and spatially explicit urban growth,JOURNAL OF CLEANER PRODUCTION,"Xu, Lilai; Cui, Shenghui; Wang, Xiaoming; Tang, Jianxiong; Nitivattananon, Vilas; Ding, Shengping; Nguyen, Minh Nguyen"
91759648,https://sysrev.com/p/121334/article/91759648,consistent,2,bopp|||yunne-jai.shin,false,false,true,true,,,,,"Soil, Water, and Agricultural Adaptations",NA,"Eudoxie, Gaius D.; Wuddivira, Mark"
91759649,https://sysrev.com/p/121334/article/91759649,consistent,2,jean-pierre.gattuso|||bopp,false,true,false,false|||true,,,,,Manganese enrichments near a large gas-hydrate and cold-seep field: a record of past redox and sedimentation events,DEPOSITIONAL RECORD,"Ingram, Wesley C.; Meyers, Stephen R.; Shen, Zhizhang; Xu, Huifang; Martens, Christopher S."
91759650,https://sysrev.com/p/121334/article/91759650,resolved,3,bopp|||yunne-jai.shin|||deviveytia,true,true,true,true,,,,"""Include because intervention is aiming to increase ecosystem services (which implies protection for climate change-related threats, as well as overall mitigation)""",Large conservation opportunities exist in > 90\% of tropic-subtropic coastal habitats adjacent to cities,ONE EARTH,"Mazor, Tessa; Friess, Daniel A.; Todd, Peter A.; Huang, Danwei; Nguyen, Nhung T. H.; Saunders, Megan I.; Runting, Rebecca K.; Lowe, Ryan J.; Cartwright, Paula; Gilmour, James P.; Lovelock, Catherine E."
91759651,https://sysrev.com/p/121334/article/91759651,resolved,3,jean-pierre.gattuso|||bopp|||deviveytia,false,false,false,false,,,,"""Connection with the sea is to do with decreases in the climate driver (atm temperature), not the source of the threat or intervention.""",Simulation of global warming effect on outdoor thermal comfort conditions,INTERNATIONAL JOURNAL OF ENVIRONMENTAL SCIENCE AND TECHNOLOGY,"Roshan, Gh. R.; Ranjbar, F.; Orosa, J. A."
91759652,https://sysrev.com/p/121334/article/91759652,resolved,3,bopp|||yunne-jai.shin|||deviveytia,true,true,true,true,true,,,"""It is ambiguous but it depends if the climate change threats they assess include ocean-based threats. Because they are islands and include coastal ecosystems I think that might be included""",A potential model for assessing and adapting island biodiversity to the risks of climate change,PACIFIC CONSERVATION BIOLOGY,"Ball, Derek; Gilbert-Ball, Hannah"
91759653,https://sysrev.com/p/121334/article/91759653,consistent,2,adriencomte.pro|||jean-pierre.gattuso,true,true,true,true,false,,,,The CCS hub in Norway: some insights from 22 years of saline aquifer storage,NA,"Ringrose, Philip S."
91759654,https://sysrev.com/p/121334/article/91759654,consistent,2,adriencomte.pro|||jean-pierre.gattuso,true,true,true,true,false,,,,Varying Inundation Regimes Differentially Affect Natural and Sand-Amended Marsh Sediments,PLOS ONE,"Wigand, C.; Sundberg, K.; Hanson, A.; Davey, E.; Johnson, R.; Watson, E.; Morris, J."
91759655,https://sysrev.com/p/121334/article/91759655,consistent,2,bopp|||yunne-jai.shin,true,true,true,true,true,false,,,Guidelines for Analysing Coastal Flood Protection Systems after a Submersion,WATER,"Igigabel, Marc; Nedelec, Yves; Berenger, Nathalie; Flouest, Nicolas; Bernard, Alexis; Chasse, Patrick; Tiberi-Wadier, Anne-Laure"
91759656,https://sysrev.com/p/121334/article/91759656,resolved,3,adriencomte.pro|||jean-pierre.gattuso|||deviveytia,false,true,false,false,,,,"nil; ""Exclude because it is more about vulnerability assessment -- application to adaptation is not the \""core\"" of the paper""",Coastal vulnerability analysis of Bangladesh coast using fuzzy logic based geospatial techniques,OCEAN \& COASTAL MANAGEMENT,"Mullick, Md. Reaz Akter; Tanim, A. H.; Islam, S. M. Samiul"
91759657,https://sysrev.com/p/121334/article/91759657,resolved,3,deviveytia|||jean-pierre.gattuso|||yunne-jai.shin,true,true,true,true,false,false,false,,Highly Adaptive Liquid-Solid Triboelectric Nanogenerator-Assisted Self-Powered Water Wave Motion Sensor,ACS APPLIED ELECTRONIC MATERIALS,"Liu, Hanyun; Xu, Yun; Xiao, Yu; Zhang, Shaochun; Qu, Changming; Lv, Longfeng; Chen, Huamin; Song, Guofeng"
91759658,https://sysrev.com/p/121334/article/91759658,consistent,2,bopp|||yunne-jai.shin,false,false,true,true,,,,,"Debrisites from the Sudbury impact event in Ontario, north of Lake Superior, and a new age constraint: Are they base-surge deposits or tsunami deposits?",NA,"Addison, William D.; Brumpton, Gregory R.; Davis, Don W.; Fralick, Philip W.; Kissin, Stephen A."
91759659,https://sysrev.com/p/121334/article/91759659,consistent,2,deviveytia|||adriencomte.pro,false,true,false,false|||true,,true,,"""Intervention is too general -- not specifically targeted towards adaptation to ocean-related threat""",Country stakes in climate change negotiations: two dimensions of vulnerability,CLIMATE POLICY,"Buys, Piet; Deichmann, Uwe; Meisner, Craig; That, Thao Ton; Wheeler, David"
91759660,https://sysrev.com/p/121334/article/91759660,consistent,2,deviveytia|||adriencomte.pro,false,true,false,false|||true,,,,,Environmental Indicators GIS of the Catalan Coast,NA,"Brenner, Jorge; Jimenez', Jose A.; Sarda, Rafael"
91759661,https://sysrev.com/p/121334/article/91759661,consistent,2,deviveytia|||jean-pierre.gattuso,false,true,false,true,,,,,Skeletal records of community-level bleaching in Porites corals from Palau,CORAL REEFS,"Barkley, Hannah C.; Cohen, Anne L."
91759662,https://sysrev.com/p/121334/article/91759662,consistent,2,bopp|||yunne-jai.shin,false,true,false,true,,,,,A new look at the multi-G model for organic carbon degradation in surface marine sediments for coupled benthic-pelagic simulations of the global ocean,BIOGEOSCIENCES,"Stolpovsky, Konstantin; Dale, Andrew W.; Wallmann, Klaus"
91759663,https://sysrev.com/p/121334/article/91759663,consistent,2,deviveytia|||adriencomte.pro,false,true,false,false|||true,,,,,"Characterization of organic matter in the Oligocene (Chattian) turbiditic fine grained deposits, offshore Angola",ORGANIC GEOCHEMISTRY,"Deniau, Isabelle; Disnar, Jean-Robert; Baudin, Francois; Houzay, Jean-Pierre"
91759664,https://sysrev.com/p/121334/article/91759664,consistent,2,deviveytia|||adriencomte.pro,false,true,false,false|||true,,,,,Seasonal variability in carbon:(234)thorium ratios of suspended and sinking particles in coastal Antarctic waters: Field data and modeling synthesis,DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS,"Stukel, Michael R.; Schofield, Oscar M. E.; Ducklow, Hugh W."
91759665,https://sysrev.com/p/121334/article/91759665,consistent,2,jean-pierre.gattuso|||bopp,true,true,true,true,,,,,``We can't do it on our own!{''} - Integrating stakeholder and scientific knowledge of future flood risk to inform climate change adaptation planning in a coastal region,ENVIRONMENTAL SCIENCE \& POLICY,"Pasquier, Ulysse; Few, Roger; Goulden, Marisa C.; Hooton, Simon; He, Yi; Hiscock, Kevin M."
91759666,https://sysrev.com/p/121334/article/91759666,consistent,2,deviveytia|||adriencomte.pro,false,false|||true,false|||true,true,,,,,A study on hot-water production of hotels in Cyprus: Energy and environmental considerations,ENERGY AND BUILDINGS,"Michopoulos, A.; Ziogou, I.; Kerimis, M.; Zachariadis, T."
91759667,https://sysrev.com/p/121334/article/91759667,consistent,2,deviveytia|||jean-pierre.gattuso,false,true,false,true,,,,,Application of chlorine dioxide (ClO2) to reverse osmosis (RO) membrane for seawater desalination,JOURNAL OF THE TAIWAN INSTITUTE OF CHEMICAL ENGINEERS,"Oh, Jung Hwan; Jang, Am"
91759668,https://sysrev.com/p/121334/article/91759668,resolved,2,jean-pierre.gattuso|||deviveytia,false,true,false,true,,,false,,Fluorescence characterization and microbial degradation of dissolved organic matter leached from salt marsh plants in the Yellow River Delta,JOURNAL OF PLANT ECOLOGY,"Zhang, Tao; Feng, Zhihua; Luo, Chunle; Sun, Yixin; Li, Jinzhen; Xu, Juntian; Wang, Xuchen"
91759669,https://sysrev.com/p/121334/article/91759669,consistent,2,bopp|||yunne-jai.shin,false,false,true,true,,,,,Enzyme activities along a climatic transect in the Judean Desert,CATENA,"Li, XZ; Sarah, P"
91759670,https://sysrev.com/p/121334/article/91759670,consistent,2,deviveytia|||bopp,true,true,true,true,,,,,Impact of coastal defence structures (tetrapods) on a demersal hard-bottom fish community in the southern North Sea,MARINE ENVIRONMENTAL RESEARCH,"Wehkamp, Stephanie; Fischer, Philipp"
91759671,https://sysrev.com/p/121334/article/91759671,consistent,2,deviveytia|||adriencomte.pro,false,true,false|||true,true,,true,,,Climate-induced habitat suitability changes intensify fishing impacts on the life history of large yellow croaker (Larimichthys crocea),ECOLOGY AND EVOLUTION,"Wang, Ya; Zhou, Xijie; Chen, Jiajie; Xie, Bin; Huang, Lingfeng"
91759672,https://sysrev.com/p/121334/article/91759672,resolved,3,deviveytia|||adriencomte.pro|||yunne-jai.shin,false,true,true,false,,,,,Future urban development exacerbates coastal exposure in the Mediterranean,SCIENTIFIC REPORTS,"Wolff, Claudia; Nikoletopoulos, Theodore; Hinkel, Jochen; Vafeidis, Athanasios T."
91759673,https://sysrev.com/p/121334/article/91759673,consistent,2,deviveytia|||adriencomte.pro,false,false,false|||true,false|||true,,,,,"Urea Hydrolysis Rate in Soil Toposequences as Influenced by pH, Carbon, Nitrogen, and Soluble Metals",JOURNAL OF ENVIRONMENTAL QUALITY,"Fisher, Kristin A.; Meisinger, John J.; James, Bruce R."
91759674,https://sysrev.com/p/121334/article/91759674,consistent,2,bopp|||yunne-jai.shin,false,true,false,true,,,,,"Long-term changes in seagrass and benthos at Banc d'Arguin, Mauritania, the premier intertidal system along the East Atlantic Flyway",GLOBAL ECOLOGY AND CONSERVATION,"El-Hacen, El-Hacen M.; Cheikh, Mohamed A. Sidi; Bouma, Tjeerd J.; Olff, Han; Piersma, Theunis"
91759675,https://sysrev.com/p/121334/article/91759675,consistent,2,deviveytia|||adriencomte.pro,false,true,false,false|||true,,,,,Microbial community dynamics and coexistence in a sulfide-driven phototrophic bloom,ENVIRONMENTAL MICROBIOME,"Bhatnagar, Srijak; Cowley, Elise S.; Kopf, Sebastian H.; Perez Castro, Sherlynette; Kearney, Sean; Dawson, Scott C.; Hanselmann, Kurt; Ruff, S. Emil"
91759676,https://sysrev.com/p/121334/article/91759676,consistent,2,bopp|||yunne-jai.shin,false,false|||true,false|||true,true,,,,,U-Th stratigraphy of a cold seep carbonate crust,CHEMICAL GEOLOGY,"Bayon, G.; Henderson, G. M.; Bohn, M."
91759677,https://sysrev.com/p/121334/article/91759677,consistent,2,deviveytia|||adriencomte.pro,false,false,false|||true,false|||true,,,,,Coal fly ash is a major carbon flux in the Chang Jiang (Yangtze River) basin,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,"Li, Gen K.; Fischer, Woodward W.; Lamb, Michael P.; West, A. Joshua; Zhang, Ting; Galy, Valier; Wang, Xingchen Tony; Li, Shilei; Qiu, Hongrui; Li, Gaojun; Zhao, Liang; Chen, Jun; Ji, Junfeng"
91759678,https://sysrev.com/p/121334/article/91759678,consistent,2,deviveytia|||adriencomte.pro,false,false|||true,false,false|||true,,,,,"Polycyclic aromatic hydrocarbons (PAHs) in sediment cores from lakes Shinji and Nakaumi, SW Japan: A proxy of recent fire events in the watershed",ESTUARINE COASTAL AND SHELF SCIENCE,"Sampei, Yoshikazu; Uraoka, Shin-ichi; Ono, Takahiro; Dettman, David L."
91759679,https://sysrev.com/p/121334/article/91759679,consistent,2,deviveytia|||adriencomte.pro,false,true,false,false|||true,,,,,Ecophysiology of native and alien-invasive clams in an ocean warming context,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR \& INTEGRATIVE PHYSIOLOGY,"Anacleto, Patricia; Maulvault, Ana Luisa; Lopes, Vanessa M.; Repolho, Tiago; Diniz, Mario; Nunes, Maria Leonor; Marques, Antonio; Rosa, Rui"
91759680,https://sysrev.com/p/121334/article/91759680,consistent,2,deviveytia|||bopp,false,false,true,true,,,,,How solar energy and electrochemical technologies may help developing countries and the environment,ENERGY CONVERSION AND MANAGEMENT,"Marini, S.; Strada, C.; Villa, M.; Berrettoni, M.; Zerlia, T."
91759681,https://sysrev.com/p/121334/article/91759681,consistent,2,bopp|||yunne-jai.shin,false,true,false,false|||true,,,,,"ON THE Movement OF Beluga Whales IN COOK INLET, ALASKA: Simulations of Tidal and Environmental Impacts Using a Hydrodynamic Inundation Model",OCEANOGRAPHY,"Ezer, Tal; Hobbs, Roderick; Oey, Lie-Yauw"
