Article ID,Article URL,Title,Journal,Authors,Abstract,predict(148489:Include)
91759615,https://sysrev.com/p/121334/article/91759615,"Flood Mitigation in Mediterranean Coastal Regions: Problems, Solutions, and Stakeholder Involvement",SUSTAINABILITY,"Ciampa, Francesca; Seifollahi-Aghmiuni, Samaneh; Kalantari, Zahra; Ferreira, Carla Sofia Santos","Flooding affects Mediterranean coastal areas, with negative impacts on regional populations and ecosystems. This paper reviews the causes and consequences of coastal flooding in European Mediterranean countries, common and advanced solutions implemented to mitigate flood risk, and the importance of stakeholder involvement in developing these solutions. Climate change, intensive urbanization, tourism, deforestation, wildfires, and erosion are the main causes of coastal flooding, leading to social and economic losses, degradation of ecosystems, and water and soil contamination due to saltwater intrusion. Various measures for mitigating urban coastal flooding have been implemented, including coastal barriers, infrastructural drainage systems, wetlands, and mobile dams. Development and implementation of such solutions should be performed in close collaboration with stakeholders, but their current engagement at the coordination and/or decision-making level does not allow full integration of local knowledge in flood mitigation projects. Various processes are used to engage stakeholders in coastal flood mitigation, but participatory approaches are required to integrate their perspectives into performance analysis of potential solutions. Such approaches would allow a balance to be reached between nature conservation, market forces, stakeholder needs, and decision-makers' priorities, resulting in development of innovative and sustainable mitigation solutions to enhance urban resilience to coastal flooding.",0.940
91759616,https://sysrev.com/p/121334/article/91759616,Building capacity on ecosystem-based adaptation strategy to cope with extreme events and sea-level rise on the Uruguayan coast,INTERNATIONAL JOURNAL OF CLIMATE CHANGE STRATEGIES AND MANAGEMENT,"Carro, Inti; Seijo, Leonardo; Nagy, Gustavo J.; Lagos, Ximena; Gutierrez, Ofelia","Purpose This study aims to show a case study of ecosystem-based adaptation (EbA) measures to increase coastal system's resilience to extreme weather events and sea-level rise (SLR) implemented at Kiyu (Uruguayan coast of the Rio de la Plata river estuary). Design/methodology/approach A participatory process involving the community and institutional stakeholders was carried out to select and prioritise adaptation measures to reduce the erosion of sandy beaches, dunes and bluffs due to extreme wind storm surge and rainfall, SLR and mismanagement practices. The recovery of coastal ecosystems was implemented through soft measures (green infrastructure) such as revegetation with native species, dune regeneration, sustainable drainage systems and the reduction of use pressures. Findings Main achievements of this case study include capacity building of municipal staff and stakeholders, knowledge exchanges with national-level decision makers and scientists and the incorporation of EbA approaches by subnational-level coastal governments. To consolidate EbA, the local government introduced innovations in the coastal management institutional structure. Originality/value The outcomes of the article include, besides the increase in the resilience of social-ecological systems, the strengthening of socio-institutional behaviour, structure and sustainability. This experience provides insights for developing a strategy for both Integrated Coastal Management and climate adaptation at the national scale.",0.767
91759617,https://sysrev.com/p/121334/article/91759617,Potential pitfalls in the development of smart cities and mitigation measures: An exploratory study,CITIES,"Lam, Patrick T. I.; Ma, Ruiqu","The rapid proliferation of smart city (SC) projects is a response to the challenges posed by rapid urbanization such as energy shortage, economic reconstruction (the drive towards higher productivity and efficiency) and demographic increase. Ubiquitous information communication technologies (ICTs) in SCs enable people to understand and manage cities more efficiently and sustainably, thus improving their life quality. However, a number of potential pitfalls have been noted in the development of SC. This study aims at identifying potential pitfalls in the development of SCs and filling a knowledge gap in this domain. Based on an extensive literature review, four major pitfalls are categorized as system information insecurity, personal privacy leakage, information islands, and digital divide. Possible causes and adverse effects of these pitfalls are discussed with the aid of three international case reviews. In addition, this study looks into existing assessment schemes of SC performance that are mainly focused on the positive and functional capability, but sparingly evaluate the possible downsides. It is argued that a SC cannot claim to be successful by solely measuring how much it has done or what it aims to achieve. While most studies focus on the benefits of SCs, this research reveals the challenges facing city planners. It contributes to the body of knowledge in this regard and also provides an insight into the subject matter. A framework for conducting further research on mitigating potential SC pitfalls has been laid. It is intended to inform practitioners, researchers and policymakers to develop proactive solutions concerning both technological and non-technological aspects at an early stage of SC developments.",0.325
91759618,https://sysrev.com/p/121334/article/91759618,Optimal design of cogeneration plants for seawater desalination,DESALINATION,"Cardona, E; Piacentino, A","Multi-stage flash (MSF) and reverse osmosis (RO) are the most common techniques for seawater desalination. A significant difference between these methodologies consists of their different energy requirements, i.e., thermal energy for MSF and mechanical energy for RO plants. The presence of both desalination systems (MSF and RO) appears to be suitable for cogeneration plants. The reject heat from the power cycle can feed an MSF section, while some power feeds the RO section and the MSF auxiliary equipment; the rest is sold to the grid. A criterion for the optimal design of such tri-functional cogeneration plants is proposed, based on exergo-economics and on profit maximization. In particular, in this work the analytical model is presented by examining the required data, expressing the physical and cost balances and furnishing a comprehensive definition of the objective function. The proposed model is flexible and suitable for comparative applications in all Mediterranean countries.",0.114
91759619,https://sysrev.com/p/121334/article/91759619,"The Role of Sea-Urchins in Marine Forests From Azores, Webbnesia, and Cabo Verde: Human Pressures, Climate-Change Effects and Restoration Opportunities",FRONTIERS IN MARINE SCIENCE,"Bernal-Ibanez, Alejandro; Cacabelos, Eva; Melo, Ricardo; Gestoso, Ignacio","Marine forests ecosystems are typical of temperate rocky benthic areas. These systems are formed by canopy-forming macroalgae (Laminariales, Tilopteridales, and Fucales) of high ecological value that provide numerous ecosystem services. These key species are also indicators of good environmental status. In recent decades, marine forests have been threatened by different impacts of local and global origin, putting their stability and survival in question. On a global scale, in many temperate areas of the planet, marine forests have been replaced by ``sea-urchins barrens.{''} We present a general overview of sea-urchins' population status in the archipelagos of Azores, Webbnesia (Madeira, Selvagens, and Canary Islands) and Cabo Verde, focusing on their role in the maintenance of the so-called ``alternate stable state.{''} After an in-depth evaluation of the different anthropogenic and environmental pressures, we conclude that sea-urchins population explosion has been facilitated in the benthic habitats of Madeira and Canary Islands, preventing the recovery of canopy-forming macroalgae assemblages and being one of the main drivers in maintaining a stable barren state. Diadema africanum is the main barrens-forming species in Webbnesia, where it reaches high densities and strongly impacts macroalgal assemblages. On the other hand, in the most pristine areas, such as the Selvagens Islands and other Marine Protected Areas from the Canary Islands, the density of D. africanum is up to 65\% lower than in the nearby Madeira Island, and macroalgal communities are preserved in good status. This information is critical for marine environmental management, highlighting the urgent need for implementation of appropriate control mechanisms and restoration actions headed to the conservation of marine forests in Macaronesian archipelagos.",0.900
91759620,https://sysrev.com/p/121334/article/91759620,Factors of ecosystem service values in a fast-developing region in China: Insights from the joint impacts of human activities and natural conditions,JOURNAL OF CLEANER PRODUCTION,"Liu, Zhitao; Wu, Rong; Chen, Yongxin; Fang, Chuanglin; Wang, Shaojian","Understanding the spatiotemporal variety and influencing mechanisms of ecosystem service value (ESV) can provide a scientific guide for the regional ecological management and sustainable development. However, the joint effect of factors influencing ESV is ignored, which is an important way for influencing factors to work in the complex and frequently interacting ecosystem. In this study, we used remote sensing data, grid statistics data, and machine learning methods to reveal the spatiotemporal variation of ESV and to explore the combined effects of influencing factors in the Guangdong-Hong Kong-Macao Greater Bay Area (GBA) from 2000 to 2015. The specific results were as follows. (1) The total ESV in the GBA decreased by 13.11 billion yuan with the rate of decline slowing over the study period, and the regulating service suffered the most damage. (2) The spatial distribution of ESV has an outer high and inner low circle structure. Compared with that of the west bank of the Pearl River estuary, ESV of the east bank is relatively lower. (3) The three kinds of combination of factors had different impacts on ecosystem services. The effect of land-use integrity on ecosystem services is opposite between natural ecosystem and urban ecosystem. (2)When regional population density is under a certain threshold (669 people/km(2)), social economies and ecosystems may develop together. (3)The mismatched hydrothermal conditions can lead to a decrease in ESV. The findings of our study are conducive to identifying the current situation of ecosystem services and promoting the ecological civilization construction in the GBA, and bring a new insight and perspective on the influencing mechanisms of ESV. (C) 2021 Elsevier Ltd. All rights reserved.",0.172
91759621,https://sysrev.com/p/121334/article/91759621,Storage and depth distribution of organic carbon in volcanic soils as affected by environmental and pedological factors,CATENA,"Mora, J. L.; Guerra, J. A.; Armas-Herrera, C. M.; Arbelo, C. D.; Rodriguez-Rodriguez, A.","It has been recognised that volcanic soils, particularly Andosols, can store large amounts of soil organic carbon (SOC). This study investigates the factors controlling the regional and vertical distributions of SOC in soils of volcanic origin. To this aim, we investigated the vertical distribution of SOC in a total of 212 soil profiles representing all combinations of soil-forming factors in a volcanic area with a high diversity of ecosystems and soil types. We analysed the SOC contents in relation to intrinsic (soil type and relevant soil properties: texture and pH) and extrinsic factors (climate, parent material, relief), and we studied the patterns of SOC distribution with depth by fitting the SOC contents to different curve models. Furthermore, we selected ten soil profiles for a more detailed study to assess the effect of vegetation by examining the relationships of the SOC storage and depth distribution to the amount and allocation of plant roots and litterfall. SOC storage was controlled by the interaction of climatic (rainfall), time (substrate age), topographic (slope) and biotic (plant-mediated) factors. Our results indicate that under humid conditions, large organic inputs and the inhibition of microbial degradation due to low pH, AI-toxicity and persistent anaerobiosis within soil microaggregates largely contributed to SOC accumulation. Soil type was a poor predictor of SOC storage, most likely due to the co-occurrence of young and evolved Andosols and a certain andic character in many soils that did not qualify as Andosols. The distributions of root carbon and SOC appeared to be closely interrelated, suggesting a major role of roots in the supply of organic matter and the lack of significant bioturbation. The depth distribution of SOC was best fitted by the quadratic, cubic and power models, the latter being a feasible alternative that should be used to this aim in volcanic soils rather than the widely used exponential model. (C) 2014 Elsevier BM. All rights reserved.",0.231
91759622,https://sysrev.com/p/121334/article/91759622,CLIMATIC ATMOSPHERIC OUTFLOW AT THE RIM OF THE ANTARCTIC CONTINENT,JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,"DALU, GA; BALDI, M; MORAN, MD; NARDONE, C; SBANO, L","Using Gauss's divergence theorem, we examine the role of the net radiative cooling and of the entrainment of potentially warm air from the free atmosphere into the surface layer in determining the intensity of the cold-air outflow at the rim of the Antarctic continent. The result shows that a large amount of cold air, significant at even a global climatological scale, is exported through this process from high- to low-latitude regions. The theory gives also the average intensity of the wind at the coast. In the coastal regions of Antarctica the wind exhibits a complex behavior. Observations show that katabatic winds in the near-coastal region can be periodic or continuous, or can stay a long time in a quiescent near-critical state, then burst in short and strong gusts. We examine some aspects of these katabatic winds in terms of the mesoscale energy theory developed by Dalu and Green (1983). This complex behavior is described by a nonlinear system, where the relevant parameter is the Froude number of the inflow at a Rossby radius distance from the coast. The analytical theory developed agrees well with qualitative features observed.",0.180
91759623,https://sysrev.com/p/121334/article/91759623,Understanding extreme sea levels for broad-scale coastal impact and adaptation analysis,NATURE COMMUNICATIONS,"Wahl, T.; Haigh, I. D.; Nicholls, R. J.; Arns, A.; Dangendorf, S.; Hinkel, J.; Slangen, A. B. A.","One of the main consequences of mean sea level rise (SLR) on human settlements is an increase in flood risk due to an increase in the intensity and frequency of extreme sea levels (ESL). While substantial research efforts are directed towards quantifying projections and uncertainties of future global and regional SLR, corresponding uncertainties in contemporary ESL have not been assessed and projections are limited. Here we quantify, for the first time at global scale, the uncertainties in present-day ESL estimates, which have by default been ignored in broad-scale sea-level rise impact assessments to date. ESL uncertainties exceed those from global SLR projections and, assuming that we meet the Paris agreement goals, the projected SLR itself by the end of the century in many regions. Both uncertainties in SLR projections and ESL estimates need to be understood and combined to fully assess potential impacts and adaptation needs.",0.607
91759624,https://sysrev.com/p/121334/article/91759624,On microgrids and resilience: A comprehensive review on modeling and operational strategies,RENEWABLE \& SUSTAINABLE ENERGY REVIEWS,"Wang, Yi; Rousis, Anastasios Oulis; Strbac, Goran","High-impact and low-probability (HILP) extreme events can cause severe damage to power systems. Microgrids (MGs) with distributed generation resources provide a viable solution for the resilience enhancement of distribution networks during extreme events. In this paper, resilience-oriented modeling details are appropriately presented across four dimensions: modeling objectives and metrics, resilience scenarios, control methods and resilience-oriented strategies. Three types of objective functions are commonly used in existing literature: load maximization, cost minimization and frequency stabilization. To mimic realistic resilience scenarios, uncertainty information, contingencies, distributed generation resources and interdependencies between power systems and other networks (e.g. gas networks) are main factors that need to be considered. Energy management system, optimal power flow and dynamic control are three basic approaches utilized to model resilient power systems. As far as operational strategies in relation to network topologies are concerned, four types are typically met in the literature, these being existing MGs for network resilience, dynamic formation of MGs, islanding schemes of MGs and networked MGs. Different types of MGs and different control methods are also appropriately presented in this part. Finally, research challenges are identified and several future research directions are provided.",0.444
91759625,https://sysrev.com/p/121334/article/91759625,GIS-Based Site Analysis of an Optimal Offshore Wind Farm for Minimizing Coastal Disasters,JOURNAL OF COASTAL RESEARCH,"Ryu, Geon Hwa; Kim, Hyunsu; Kim, Young-Gon; Chon, Kyung-Hee; Joo, Joon Young; Moon, Chae-Joo","The horizontal force transmitted to the turbine and the substructure of a wind power system is very important factor in system safety, and such a system is particularly vulnerable to large-scale coastal disasters such as earthquakes and typhoons. Wind power systems built offshore and on coasts have reduced economic efficiency due to the increase in initial investment costs, because they require a more robust design when installed in areas vulnerable to coastal disasters. The western and southern seas of Korea have a relatively shallow water depth, which is advantageous for the construction of offshore wind farms. However, since it is close to the Pacific Rim, the probability of an earthquake is relatively high compared to those in other regions, and the frequency of typhoons is higher as well, so a more detailed site analysis is necessary. In this study, the GIS technique was used to select an optimal site for wind farms with a focus on reducing the risk of coastal disasters. The current state of earthquakes in the western and southern seas of Korea as well as the movement path and intensity of typhoons affecting or passing through the western and southern seas were also analyzed in a complex manner. As a result, an optimal site for an offshore wind farm with the lowest risk of coastal disasters was analyzed.",0.943
