(internal) id,(source) id,keywords,abstract,title,journal,authors,tags,consensus,labeled_at,dveytia,labeled_at,YunneShin,labeled_at,bopp,labeled_at,gattuso,labeled_at,adriencomte,labeled_at,general notes (dveytia),population notes (dveytia),intervention/comparator notes (dveytia),outcome notes (dveytia),general notes (YunneShin),population notes (YunneShin),intervention/comparator notes (YunneShin),outcome notes (YunneShin),general notes (bopp),population notes (bopp),intervention/comparator notes (bopp),outcome notes (bopp),general notes (gattuso),population notes (gattuso),intervention/comparator notes (gattuso),outcome notes (gattuso),general notes (adriencomte),population notes (adriencomte),intervention/comparator notes (adriencomte),outcome notes (adriencomte)
35970730,340,area-based conservation; biodiversity; climate change; conservation planning; extinction risk,"Limiting climate change to less than 2 degrees C is the focus of international policy under the climate convention (UNFCCC), and is essential to preventing extinctions, a focus of the Convention on Biological Diversity (CBD). The post-2020 biodiversity framework drafted by the CBD proposes conserving 30\% of both land and oceans by 2030. However, the combined impact on extinction risk of species from limiting climate change and increasing the extent of protected and conserved areas has not been assessed. Here we create conservation spatial plans to minimize extinction risk in the tropics using data on 289 219 species and modeling two future greenhouse gas concentration pathways (RCP2.6 and 8.5) while varying the extent of terrestrial protected land and conserved areas from <17\% to 50\%. We find that limiting climate change to 2 degrees C and conserving 30\% of terrestrial area could more than halve aggregate extinction risk compared with uncontrolled climate change and no increase in conserved area.",30\% land conservation and climate action reduces tropical extinction risk by more than 50\%,,,,x,,-1,1/24/2023 7:44,-1,1/23/2023 21:11,1,1/24/2023 7:54,1,1/23/2023 17:32,1,1/23/2023 15:45,,No - only land,,,,,,,Yes. Conservation strategy and how it reduces extinction risks in the tropics.,,,,,,,,,,,
35970731,4084,Solar physics; Solar energetic particles; Ground level enhancements,"An overview of the results of the search for small solar transient events, in association with muon enhancements (deficits) registered at ground-level by the Tupi muon telescopes, is presented. Among the events, there are three interplanetary shocks and two solar flares of small scale whose X-ray emission flux is much smaller than 10(-5) W m(-2) at 1 AU (GOES-Tupi connection). Two of the interplanetary shocks are cataloged as corotating interaction region and the third shock is due to the passage of a CME (coronal mass ejection) ejecta (ACE and SOHO-Tupi connection) in the Earth's proximities. In most cases, the particles excess (deficit) coming from these events have only been observed with spacecraft instruments. However, the Tupi telescopes are located at sea level and within the South Atlantic Anomaly (SAA), a region where the shielding effect of the magnetosphere is not perfectly spherical and shows a `dip'. This fact enables the muon telescopes to achieve a low rigidity of response to primary and secondary charged particles (>= 0.1 GV). Muon excesses (deficits) with significances above 4 sigma have been found. These events observed at ground admit a temporal correlation with solar transient events observed by spacecrafts, which suggests strongly a real connection between them. Details of these observations are reported.",Connection among spacecrafts and ground level observations of small solar transient events An overview of small solar transient events observed at ground,,,,-1,,-1,1/24/2023 7:45,-1,1/23/2023 21:12,-1,1/24/2023 7:55,-1,1/23/2023 17:32,-1,1/23/2023 15:46,,No ,,,,,,,Not addressing ORO. But impacts of solar transient events.,,,,,,,,,,,
35970732,347,Cultural ecosystem services; marine renewable energy installations; provisioning services; regulatory services; supporting services; valuation,"The rapid increase in renewable energy generation from wind has increased concerns about the impacts that wind arrays have on the marine environment and what these impacts mean for society. One method for identifying the impacts of offshore wind farms (OWFs) on human welfare is through the assessment and valuation of ecosystem services. Using an ecosystem services approach, this paper reviews the impacts of OWFs on the ecosystem services delivered by marine environments. During the construction phase, supporting services such as reduced energy capture and nutrient cycling are changed due to the introduction of hard substrate and the reduction in soft sediment habitat at turbine bases. This may lead to changes in all other ecosystem services, both negative and positive. Quantifying these changes, however, is a challenge partly due to data limitations and a lack of clear understanding of the impacts of OWFs on the marine ecosystems. Scientific effort needs to quantitatively explore the impacts of OWFs on ecosystem functionality and the gathering of data that enables the assessment of changes to ecosystem services. Data needed to better quantify and value the impacts of OWFs on ecosystem services are suggested. The development of methods which integrate socioeconomic valuation of ecosystem services into the evaluation of renewable energy devices compliments efforts in assessing the environmental impacts and should enable a holistic assessment of the impact of renewable energy production and greenhouse gas mitigation technologies on the U. K. carbon footprint.",The Impact of Offshore Wind Farms on Marine Ecosystems: A Review Taking an Ecosystem Services Perspective,,,,1,,1,1/24/2023 7:46,1,1/23/2023 21:13,1,1/24/2023 7:56,1,1/23/2023 17:32,1,1/23/2023 15:47,,Yes,Yes - offshore wind,Yes - impacts resulting from the ORO,,,,,Yes. Impacts on wind farms on marine ecosystems (secondary effects).,,,,,,,,,,,
35970733,1090,trash; modeling; soil organic matter; environmental N losses; carbon sequestration,"The warming of world climate systems is driving interest in the mitigation of greenhouse gas (GHG) emissions. In the agricultural sector, practices that mitigate GHG emissions include those that (1) reduce emissions {[}e.g., those that reduce nitrous oxide (N2O) emissions by avoiding excess nitrogen (N) fertilizer application], and (2) increase soil organic carbon (SOC) stocks (e.g., by retaining instead of burning crop residues). Sugarcane is a globally important crop that can have substantial inputs of N fertilizer and which produces large amounts of crop residues ('trash'). Management of N fertilizer and trash affects soil carbon and nitrogen cycling, and hence GHG emissions. Trash has historically been burned at harvest, but increasingly is being retained on the soil surface as a `trash blanket' in many countries. The potential for trash retention to alter N fertilizer requirements and sequester SOC was investigated in this study. The APSIM model was calibrated with data from field and laboratory studies of trash decomposition in the wet tropics of northern Australia. APSIM was then validated against four independent data sets, before simulating location x soil x fertilizer x trash management scenarios. Soil carbon increased in trash blanketed soils relative to SOC in soils with burnt trash. However, further increases in SOC for the study region may be limited because the SOC in trash blanketed soils could be approaching equilibrium; future GHG mitigation efforts in this region should therefore focus on N fertilizer management. Simulated N fertilizer rates were able to be reduced from conventional rates regardless of trash management, because of low yield potential in the wet tropics. For crops subjected to continuous trash blanketing, there was substantial immobilization of N in decomposing trash so conventional N fertilizer rates were required for up to 24 years after trash blanketing commenced. After this period, there was potential to reduce N fertilizer rates for crops when trash was retained (<= 20 kg N ha(-1)per plant or ratoon crop) while maintaining >= 95\% of maximum yields. While these savings in N fertilizer use were modest at the field scale, they were potentially important when aggregated at the regional level.",Long Term Sugarcane Crop Residue Retention Offers Limited Potential to Reduce Nitrogen Fertilizer Rates in Australian Wet Tropical Environments,,,,x,,-1,1/24/2023 7:47,-1,1/23/2023 21:14,-1,1/24/2023 7:56,-1,1/23/2023 17:33,1,1/23/2023 15:49,,No- land,,,,,,,Not part of ORO.,,,,,,,,,,,
35970734,3095,NA,"Phytodetrital sedimentation, bacterial activity in sediments, and benthic macro- and meiofauna abundance were measured to calculate a carbon budget for pelagic-benthic coupling in Lake Erken. Bacterial activity in surficial sediment was limited by temperature in spring, although a significant correlation with the input of spring-bloom phytodetritus was noted. Population dynamics of benthic meiofauna during a period of increased food availability in spring were highly taxon-specific and closely correlated to feeding behavior. Abundances of ostracods and nematodes rapidly increased when phytodetritus became available in hypolimnetic water and surficial sediment, respectively. Considerable time lags (months) were found between phytodetritus deposition and population development of harpacticoid copepods and chydorids. Carbon budget calculations based on sedimentation data (traps) and surficial sediment C content showed that during spring between 1.1 and 7.2\% of deposited phytodetritus is assimilated by benthic meiofauna, whereas the dominant macroinvertebrates, sedentary chironomids, assimilated between 2.4 and 6.0\%. On average, between 1.9 and 12.4\% of the deposited phytodetritus was mineralized by sediment bacteria. A significant negative correlation was found between abundances of benthic meiofauna and bacteria in the sediment. Chlorophyll a analysis of surficial sediment was a necessary, complementary tool to detect sedimentation that was not detected by the traditional, cylindric sediment traps.",Pelagic-benthic coupling: Profundal benthic community response to spring diatom deposition in mesotrophic Lake Erken,,,,-1,,-1,1/24/2023 7:48,-1,1/23/2023 21:15,-1,1/24/2023 7:57,-1,1/23/2023 17:33,-1,1/23/2023 15:50,,,No - not action,,,,,,Not ovean-related. But focusing on a lake.,,,,,,,,,,,
35970735,188,Urban overheating; Heatwaves; Urban cooling energy needs; Indoor comfort; Adaptive measures,"The rapidly growing urban population, along with the increasing urban energy needs and greenhouse gas (GHG) emissions, poses a serious threat to the global climate. Local, regional, and global climatic condi-tions synergistically interact and affect urban energy performance and thermal comfort. The combined impact of such local, regional and global climatic change on the buildings' thermal performance has never been studied. In the present study, the combined impact of urban overheating (UO) and heatwaves (HWs) on building thermal performance have been investigated by employing the urban building energy model (UBEM). Further, the sensitivity analyses were performed using various adaptive measures to evaluate the impact on cooling needs and indoor comfort. Under the synergistic impact of UO and HWs, the cool -ing penalties were recorded up to 650\%, the increase in mean indoor temperature was up to 5.8 degrees C, and the deterioration in passive survivability was registered up to 31\%. Under the combined impact of various adaptive measures, the cooling savings were recorded up to 97\%, the drop in mean indoor temperature was up to 2.34 degrees C, and the improvement in passive survivability was up to 20\% during HWs. The present study might assist in revising the building codes to counteract the global climatic change and improve building resilience during extreme heat conditions. (c) 2022 Elsevier B.V. All rights reserved.","On the combined impact of local, regional, and global climatic changes on the urban energy performance and indoor thermal comfort-The energy potential of adaptation measures",,,,x,,-1,1/24/2023 7:50,-1,1/23/2023 21:17,-1,1/24/2023 7:57,-1,1/23/2023 17:34,1,1/23/2023 15:51,,No,,,,,,,Not Ocean related.,,,,,,,,,,,
35970736,1347,NA,"Prescribed burning is a forest management practice that is widely used in Australia to reduce the risk of damaging wildfires. Prescribed burning can affect both carbon (C) and nitrogen (N) cycling in the forest and thereby influence the soil-atmosphere exchange of major greenhouse gases, i.e. carbon dioxide (CO2), methane (CH4) and nitrous oxide (N2O). To quantify the impact of a prescribed burning (conducted on 27 May 2014) on greenhouse gas exchange and the potential controlling mechanisms, we carried out a series of field measurements before (August 2013) and after (August 2014 and November 2014) the fire. Gas exchange rates were determined in four replicate plots which were burned during the combustion and in another four adjacent unburned plots located in green islands, using a set of static chambers. Surface soil properties including temperature, pH, moisture, soil C and N pools were also determined either by in situ measurement or by analysing surface 10 cm soil samples. All of the chamber measurements indicated a net sink of atmospheric CH4, with mean CH4 uptake ranging from 1.15 to 1.99 mg m(-2) d(-1). Prescribed burning significantly enhanced CH4 uptake as indicated by the significant higher CH4 uptake rates in the burned plots measured in August 2014. In the following 3 months, the CH4 uptake rate was recovered to the pre-burning level. Mean CO2 emission from the forest soils ranged from 2721.76 to 7113.49 mg m(-2) d(-1). The effect of prescribed burning on CO2 emission was limited within the first 3 months, as no significant difference was observed between the burned and the adjacent unburned plots in both August and November 2014. The CO2 emissions showed more seasonal variations, rather than the effects of prescribed burning. The N2O emission in the plots was quite low, and no significant impact of prescribed burning was observed. The changes in understory plants and litter layers, surface soil temperature, C and N substrate availability and microbial activities, following the prescribed burning, were the factors that controlled the greenhouse gas exchanges. Our results suggested that the low-intensity prescribed burning would decrease soil CO2 emission and increase CH4 uptake, but this effect would be present within a relatively short period. Only slight changes in the surface soil properties during the combustion and very limited impacts of prescribed burning on the mineral soils supported the rapid recovery of the greenhouse gas exchange rates.","Impacts of prescribed burning on soil greenhouse gas fluxes in a suburban native forest of south-eastern Queensland, Australia",,,,x,,-1,1/24/2023 7:50,-1,1/23/2023 21:17,-1,1/24/2023 7:58,-1,1/23/2023 17:35,1,1/23/2023 15:52,,No,,,,,,,Not ocean related.,,,,,,,,,,,
35970737,966,NA,"This paper reviews recent research that assesses evidence for the detection of anthropogenic and natural external influences on the climate. Externally driven climate change has been detected by a number of 19 investigators in independent data covering many parts of the climate system, including surface temperature on global and large regional scales, ocean heat content, atmospheric circulation, and variables of the free atmosphere, such as atmospheric temperature and tropopause height. The influence of external forcing is also clearly discernible in reconstructions of hemispheric-scale temperature of the last millennium. These observed climate changes are very unlikely to be due only to natural internal climate variability, and they are consistent with the responses to anthropogenic and natural external forcing of the climate system that are simulated with climate models. The evidence indicates that natural drivers such as solar variability and volcanic activity are at most partially responsible for the large-scale temperature changes observed over the past century, and that a large fraction of the warming over the last 50 yr can be attributed to greenhouse gas increases. Thus, the recent research supports and strengthens the IPCC Third Assessment Report conclusion that `' most of the global warming over the past 50 years is likely due to the increase in greenhouse gases `'.",Detecting and attributing external influences on the climate system: A review of recent advances,,,,-1,,-1,1/24/2023 7:51,-1,1/23/2023 21:18,-1,1/24/2023 7:58,-1,1/23/2023 17:35,-1,1/23/2023 15:53,,No - not specificially ocean,,,,,,,Not addressing ocean-relaed option. But attribution / detection study.,,,,,,,,,,,
35970738,4285,NA,"A 2 degrees C increase in global temperature above pre-industrial levels is considered a reasonable target for avoiding the most devastating impacts of anthropogenic climate change. In June 2015, sea surface temperature (SST) of the South China Sea (SCS) increased by 2 degrees C in response to the developing Pacific El Nino. On its own, this moderate, short-lived warming was unlikely to cause widespread damage to coral reefs in the region, and the coral reef ``Bleaching Alert{''}alarm was not raised. However, on Dongsha Atoll, in the northern SCS, unusually weak winds created low-flow conditions that amplified the 2 degrees C basin-scale anomaly. Water temperatures on the reef flat, normally indistinguishable from open-ocean SST, exceeded 6 C-degrees above normal summertime levels. Mass coral bleaching quickly ensued, killing 40\% of the resident coral community in an event unprecedented in at least the past 40 years. Our findings highlight the risks of 2 degrees C ocean warming to coral reef ecosystems when global and local processes align to drive intense heating, with devastating consequences.",Mass coral mortality under local amplification of 2 degrees C ocean warming,,,,-1,,-1,1/24/2023 7:52,-1,1/23/2023 21:19,-1,1/24/2023 8:06,-1,1/23/2023 17:36,-1,1/23/2023 15:54,,,No - more about risks than action,,,,,,Not on ocean related option. ,,,,,,,,,,,
35970739,4797,organic facies; Sivas Basin; Tertiary; Turkey,"The Sivas Tertiary Basin is located on top of the Late Cretaceous Neotethys ophiolitic nappes which were abducted onto both the Pontic belt and the Tauric platform. Organic facies characters of Tertiary units in this basin have been determined by means of total organic carbon (TOC) analysis, rock-eval pyrolysis, vitrinite reflectance data and organic petrography investigation. The total organic carbon content (TOC) of fine grained sediments from the Eocene (Kozluca and Bozbel Formations) are between 0.05 and 2.26\% indicating that these formations are poor to moderate in organic matter. Rock-eval analysis yield low hydrogen index (HI) and high oxygen index (OI) values for all samples. The dominant organic matter is type III kerogen and the hydrocarbon-generating potential is thus very low. The vitrinite reflectance (R-o) value is between 0.30 and 0.93\%. In the Sivas Tertiary Basin, the Oligocene sediments from the Selimiye Formation are characterized by a low TOC content (0.05-1.72\%) and hydrogen index (21-47 mg HC/g TOC). The vitrinite reflectance of Oligocene sediments is 0.38-0.64\%. The total organic carbon content (TOC) for Miocene sediments (Hafik and Karacaoren Formation) is 0.07-1.46\%. The organic matter content is richer in the Miocene sediments of the Karacaoren Formation marine shelf than in the sediments of the Hafik Formation terrestrial. (C) 1998 Elsevier Science B.V.",Organic facies characteristics of the Sivas Tertiary basin (Turkey),,,,-1,,-1,1/24/2023 7:53,-1,1/23/2023 21:19,-1,1/24/2023 8:06,-1,1/23/2023 17:36,-1,1/23/2023 15:54,,No,,,,,,,Not ocean related options,,,,,,,,,,,
